1007
700	395	1	0.918052	1.375372	
512	398	1	1.328073	3.115794	
519	398	1	1.253645	3.032653	
521	398	1	1.391099	3.039025	
524	398	1	1.321460	0.054035	
529	398	1	1.209860	0.064863	
533	398	1	1.289125	0.139362	
602	398	1	1.482822	3.132390	
607	398	1	1.416615	0.064734	
611	398	1	0.732229	0.340959	
613	398	1	1.325410	0.226342	
631	398	1	0.931698	3.102041	
635	398	1	1.062668	0.129861	
702	398	1	1.572338	0.000014	
703	398	1	1.374966	3.141593	
704	398	1	1.242781	3.041918	
706	398	1	1.329386	3.041933	
707	398	1	1.501905	3.141593	
708	398	1	1.514419	0.179850	
711	398	1	1.100121	2.677945	
712	398	1	1.351505	0.380501	
722	398	1	0.781674	2.076504	
509	399	1	0.532871	3.115802	
536	399	1	1.249195	3.115790	
538	399	1	1.233742	0.171609	
540	399	1	1.271615	3.115789	
543	399	1	1.369003	0.126848	
545	399	1	1.320991	0.229390	
609	399	1	0.606744	2.980936	
618	399	1	1.382015	0.143445	
622	399	1	1.252105	3.092720	
700	399	1	1.468874	2.792828	
701	399	1	0.870095	0.148494	
550	400	1	1.383457	0.126850	
563	400	1	1.326750	0.226340	
616	400	1	1.003075	2.986122	
623	400	1	1.504583	0.194816	
645	400	1	0.863990	3.127475	
651	400	1	1.012063	0.019200	
655	400	1	1.012063	0.019200	
693	400	1	0.746507	0.152890	
698	400	1	1.370931	2.699226	
699	400	1	1.355548	2.704975	
700	400	1	2.161399	1.223405	
703	400	1	0.817158	0.524729	
704	400	1	1.072479	0.549890	
717	400	1	0.821976	2.908440	
719	400	1	0.592522	2.554976	
726	400	1	1.215996	2.700143	
728	400	1	0.810945	1.798117	
553	401	1	1.266168	0.139359	
555	401	1	1.343245	0.269644	
568	401	1	1.521431	0.059656	
629	401	1	1.331312	0.312548	
688	401	1	2.351367	1.315917	
692	401	1	1.474353	1.330146	
696	401	2	1.462449	2.601169	2.279497	0.015144	
697	401	1	1.439518	2.634491	
700	401	1	0.888308	1.026013	
705	401	1	1.111004	0.470247	
711	401	1	0.829928	2.991596	
712	401	1	0.762395	0.128303	
713	401	1	0.730386	0.171755	
718	401	1	0.858477	0.094983	
721	401	1	0.781674	2.076504	
723	401	1	1.195405	2.991591	
725	401	1	1.215996	2.700143	
560	402	1	1.342449	0.289418	
574	402	1	1.409431	0.097531	
580	402	1	1.450544	2.934993	
668	402	1	1.304926	3.059486	
670	402	1	1.146272	0.060514	
673	402	1	1.357103	2.870198	
676	402	1	1.174181	0.216005	
679	402	1	1.235747	0.200298	
684	402	1	1.270468	2.303625	
688	402	1	1.083877	2.816921	
689	402	1	1.762182	2.559192	
690	402	1	1.147267	0.042703	
692	402	1	1.156369	0.108770	
696	402	1	1.347876	2.677945	
699	402	1	0.363427	1.303696	
703	402	1	0.906645	2.991593	
705	402	1	0.997165	3.062901	
707	402	1	0.919919	3.068372	
708	402	2	0.800177	3.074725	1.241567	0.313651	
709	402	1	0.812259	2.908441	
714	402	1	1.310723	2.991592	
716	402	1	0.816365	2.725340	
717	402	1	1.242005	3.039171	
718	402	1	1.234488	2.642817	
719	402	2	1.009553	0.313669	1.312103	3.082250	
720	402	1	0.966981	2.794205	
721	402	1	1.111873	2.991593	
727	402	1	0.975104	1.723080	
537	403	1	1.075031	0.141859	
543	403	1	1.244085	0.051629	
549	403	1	1.336468	3.072041	
553	403	1	1.286390	0.113556	
556	403	1	1.132691	3.130803	
559	403	1	1.232699	3.130797	
562	403	1	1.262870	3.130797	
565	403	1	1.238493	0.121754	
577	403	1	1.452722	0.171593	
579	403	1	1.544085	0.051620	
581	403	1	1.313406	0.060514	
582	403	1	1.372825	0.121756	
584	403	1	1.416613	0.072342	
590	403	1	1.272855	0.332235	
598	403	1	1.388284	3.130791	
600	403	1	1.300975	0.065971	
601	403	1	1.307757	3.130805	
604	403	1	1.560655	3.130792	
606	403	1	1.135012	0.088878	
612	403	1	1.199196	0.088860	
617	403	1	1.257663	0.079865	
620	403	1	1.313209	3.066369	
623	403	1	1.459915	0.079864	
625	403	1	1.503913	0.079865	
626	403	2	1.383170	3.130800	1.248550	3.130799	
628	403	1	1.253047	0.072342	
629	403	2	1.290418	0.169058	1.244837	0.055773	
630	403	1	1.336221	0.369712	
632	403	1	1.165731	3.130803	
634	403	1	1.331312	0.312548	
635	403	1	1.300580	3.130789	
